,Date,Time Period,Wake Up Time,Actual Time,Goal,Mood,Food Quality,MJ,Alcohol,Eat Out,Is_late,weight,type,time,Notes
0,2024-05-01,4:00 AM,,,,,,,,,,,,,
1,2024-05-01,7:45 AM,,,,,,,,,,,,,
2,2024-05-01,10:45 AM,,,,,,,,,,,,,
3,2024-05-01,12:00 PM,,,,,,,,,,,,,
4,2024-05-01,3:00 PM,,,,,,,,,,,,,
5,2024-05-01,6:00 PM,,,,,,,,,,,,,
6,2024-05-01,8:30 PM,,,,,,,,,,,,,
7,2024-05-02,4:00 AM,,,,,,,,,,,,,
8,2024-05-02,7:45 AM,,,,,,,,,,,,,
9,2024-05-02,10:45 AM,,,,,,,,,,,,,
10,2024-05-02,12:00 PM,,,,,,,,,,,,,
11,2024-05-02,3:00 PM,,,,,,,,,,,,,
12,2024-05-02,6:00 PM,,,,,,,,,,,,,
13,2024-05-02,8:30 PM,,,,,,,,,,,,,
14,2024-05-03,4:00 AM,,,,,,,,,,,,,
15,2024-05-03,7:45 AM,,,,,,,,,,,,,
16,2024-05-03,10:45 AM,,,,,,,,,,,,,
17,2024-05-03,12:00 PM,,,,,,,,,,,,,
18,2024-05-03,3:00 PM,,,,,,,,,,,,,
19,2024-05-03,6:00 PM,,,,,,,,,,,,,
20,2024-05-03,8:30 PM,,,,,,,,,,,,,
21,2024-05-04,4:00 AM,,,,,,,,,,,,,
22,2024-05-04,7:45 AM,,,,,,,,,,,,,
23,2024-05-04,10:45 AM,,,,,,,,,,,,,
24,2024-05-04,12:00 PM,,,,,,,,,,,,,
25,2024-05-04,3:00 PM,,,,,,,,,,,,,
26,2024-05-04,6:00 PM,,,,,,,,,,,,,
27,2024-05-04,8:30 PM,,,,,,,,,,,,,
28,2024-05-05,4:00 AM,,,,,,,,,,,,,
29,2024-05-05,7:45 AM,,,,,,,,,,,,,
30,2024-05-05,10:45 AM,,,,,,,,,,,,,
31,2024-05-05,12:00 PM,,,,,,,,,,,,,
32,2024-05-05,3:00 PM,,,,,,,,,,,,,
33,2024-05-05,6:00 PM,,,,,,,,,,,,,
34,2024-05-05,8:30 PM,,,,,,,,,,,,,
35,2024-05-06,4:00 AM,,,,,,,,,,,,,
36,2024-05-06,7:45 AM,,,,,,,,,,,,,
37,2024-05-06,10:45 AM,,,,,,,,,,,,,
38,2024-05-06,12:00 PM,,,,,,,,,,,,,
39,2024-05-06,3:00 PM,,,,,,,,,,,,,
40,2024-05-06,6:00 PM,,,,,,,,,,,,,
41,2024-05-06,8:30 PM,,,,,,,,,,,,,
42,2024-05-07,4:00 AM,,,,,,,,,,,,,
43,2024-05-07,7:45 AM,,,,,,,,,,,,,
44,2024-05-07,10:45 AM,,,,,,,,,,,,,
45,2024-05-07,12:00 PM,,,,,,,,,,,,,
46,2024-05-07,3:00 PM,,,,,,,,,,,,,
47,2024-05-07,6:00 PM,,,,,,,,,,,,,
48,2024-05-07,8:30 PM,,,,,,,,,,,,,
49,2024-05-08,4:00 AM,,,,,,,,,,,,,
50,2024-05-08,7:45 AM,,,,,,,,,,,,,
51,2024-05-08,10:45 AM,,,,,,,,,,,,,
52,2024-05-08,12:00 PM,,,,,,,,,,,,,
53,2024-05-08,3:00 PM,,,,,,,,,,,,,
54,2024-05-08,6:00 PM,,,,,,,,,,,,,
55,2024-05-08,8:30 PM,,,,,,,,,,,,,
56,2024-05-09,4:00 AM,,,,,,,,,,,,,
57,2024-05-09,7:45 AM,,,,,,,,,,,,,
58,2024-05-09,10:45 AM,,,,,,,,,,,,,
59,2024-05-09,12:00 PM,,,,,,,,,,,,,
60,2024-05-09,3:00 PM,,,,,,,,,,,,,
61,2024-05-09,6:00 PM,,,,,,,,,,,,,
62,2024-05-09,8:30 PM,,,,,,,,,,,,,
63,2024-05-10,4:00 AM,,,,,,,,,,,,,
64,2024-05-10,7:45 AM,,,,,,,,,,,,,
65,2024-05-10,10:45 AM,,,,,,,,,,,,,
66,2024-05-10,12:00 PM,,,,,,,,,,,,,
67,2024-05-10,3:00 PM,,,,,,,,,,,,,
68,2024-05-10,6:00 PM,,,,,,,,,,,,,
69,2024-05-10,8:30 PM,,,,,,,,,,,,,
70,2024-05-11,4:00 AM,,,,,,,,,,,,,
71,2024-05-11,7:45 AM,,,,,,,,,,,,,
72,2024-05-11,10:45 AM,,,,,,,,,,,,,
73,2024-05-11,12:00 PM,,,,,,,,,,,,,
74,2024-05-11,3:00 PM,,,,,,,,,,,,,
75,2024-05-11,6:00 PM,,,,,,,,,,,,,
76,2024-05-11,8:30 PM,,,,,,,,,,,,,
77,2024-05-12,4:00 AM,,,,,,,,,,,,,
78,2024-05-12,7:45 AM,,,,,,,,,,,,,
79,2024-05-12,10:45 AM,,,,,,,,,,,,,
80,2024-05-12,12:00 PM,,,,,,,,,,,,,
81,2024-05-12,3:00 PM,,,,,,,,,,,,,
82,2024-05-12,6:00 PM,,,,,,,,,,,,,
83,2024-05-12,8:30 PM,,,,,,,,,,,,,
84,2024-05-13,4:00 AM,,,,,,,,,,,,,
85,2024-05-13,7:45 AM,,,,,,,,,,,,,
86,2024-05-13,10:45 AM,,,,,,,,,,,,,
87,2024-05-13,12:00 PM,,,,,,,,,,,,,
88,2024-05-13,3:00 PM,,,,,,,,,,,,,
89,2024-05-13,6:00 PM,,,,,,,,,,,,,
90,2024-05-13,8:30 PM,,,,,,,,,,,,,
91,2024-05-14,4:00 AM,,,,,,,,,,,,,
92,2024-05-14,7:45 AM,,,,,,,,,,,,,
93,2024-05-14,10:45 AM,,,,,,,,,,,,,
94,2024-05-14,12:00 PM,,,,,,,,,,,,,
95,2024-05-14,3:00 PM,,,,,,,,,,,,,
96,2024-05-14,6:00 PM,,,,,,,,,,,,,
97,2024-05-14,8:30 PM,,,,,,,,,,,,,
98,2024-05-15,4:00 AM,,,,,,,,,,,,,
99,2024-05-15,7:45 AM,,,,,,,,,,,,,
100,2024-05-15,10:45 AM,,,,,,,,,,,,,
101,2024-05-15,12:00 PM,,,,,,,,,,,,,
102,2024-05-15,3:00 PM,,,,,,,,,,,,,
103,2024-05-15,6:00 PM,,,,,,,,,,,,,
104,2024-05-15,8:30 PM,,,,,,,,,,,,,
105,2024-05-16,4:00 AM,,,,,,,,,,,,,
106,2024-05-16,7:45 AM,,,,,,,,,,,,,
107,2024-05-16,10:45 AM,,,,,,,,,,,,,
108,2024-05-16,12:00 PM,,,,,,,,,,,,,
109,2024-05-16,3:00 PM,,,,,,,,,,,,,
110,2024-05-16,6:00 PM,,,,,,,,,,,,,
111,2024-05-16,8:30 PM,,,,,,,,,,,,,
112,2024-05-17,4:00 AM,,,,,,,,,,,,,
113,2024-05-17,7:45 AM,,,,,,,,,,,,,
114,2024-05-17,10:45 AM,,,,,,,,,,,,,
115,2024-05-17,12:00 PM,,,,,,,,,,,,,
116,2024-05-17,3:00 PM,,,,,,,,,,,,,
117,2024-05-17,6:00 PM,,,,,,,,,,,,,
118,2024-05-17,8:30 PM,,,,,,,,,,,,,
119,2024-05-18,4:00 AM,,,,,,,,,,,,,
120,2024-05-18,7:45 AM,,,,,,,,,,,,,
121,2024-05-18,10:45 AM,,,,,,,,,,,,,
122,2024-05-18,12:00 PM,,,,,,,,,,,,,
123,2024-05-18,3:00 PM,,,,,,,,,,,,,
124,2024-05-18,6:00 PM,,,,,,,,,,,,,
125,2024-05-18,8:30 PM,,,,,,,,,,,,,
126,2024-05-19,4:00 AM,,,,,,,,,,,,,
127,2024-05-19,7:45 AM,,,,,,,,,,,,,
128,2024-05-19,10:45 AM,,,,,,,,,,,,,
129,2024-05-19,12:00 PM,,,,,,,,,,,,,
130,2024-05-19,3:00 PM,,,,,,,,,,,,,
131,2024-05-19,6:00 PM,,,,,,,,,,,,,
132,2024-05-19,8:30 PM,,,,,,,,,,,,,
133,2024-05-20,4:00 AM,,,,,,,,,,,,,
134,2024-05-20,7:45 AM,,,,,,,,,,,,,
135,2024-05-20,10:45 AM,,,,,,,,,,,,,
136,2024-05-20,12:00 PM,,,,,,,,,,,,,
137,2024-05-20,3:00 PM,,,,,,,,,,,,,
138,2024-05-20,6:00 PM,,,,,,,,,,,,,
139,2024-05-20,8:30 PM,,,,,,,,,,,,,
140,2024-05-21,4:00 AM,,,,,,,,,,,,,
141,2024-05-21,7:45 AM,,,,,,,,,,,,,
142,2024-05-21,10:45 AM,,,,,,,,,,,,,
143,2024-05-21,12:00 PM,,,,,,,,,,,,,
144,2024-05-21,3:00 PM,,,,,,,,,,,,,
145,2024-05-21,6:00 PM,,,,,,,,,,,,,
146,2024-05-21,8:30 PM,,,,,,,,,,,,,
147,2024-05-22,4:00 AM,,,,,,,,,,,,,
148,2024-05-22,7:45 AM,,,,,,,,,,,,,
149,2024-05-22,10:45 AM,,,,,,,,,,,,,
150,2024-05-22,12:00 PM,,,,,,,,,,,,,
151,2024-05-22,3:00 PM,,,,,,,,,,,,,
152,2024-05-22,6:00 PM,,,,,,,,,,,,,
153,2024-05-22,8:30 PM,,,,,,,,,,,,,
154,2024-05-23,4:00 AM,,,,,,,,,,,,,
155,2024-05-23,7:45 AM,,,,,,,,,,,,,
156,2024-05-23,10:45 AM,,,,,,,,,,,,,
157,2024-05-23,12:00 PM,,,,,,,,,,,,,
158,2024-05-23,3:00 PM,,,,,,,,,,,,,
159,2024-05-23,6:00 PM,,,,,,,,,,,,,
160,2024-05-23,8:30 PM,,,,,,,,,,,,,
161,2024-05-24,4:00 AM,,,,,,,,,,,,,
162,2024-05-24,7:45 AM,,,,,,,,,,,,,
163,2024-05-24,10:45 AM,,,,,,,,,,,,,
164,2024-05-24,12:00 PM,,,,,,,,,,,,,
165,2024-05-24,3:00 PM,,,,,,,,,,,,,
166,2024-05-24,6:00 PM,,,,,,,,,,,,,
167,2024-05-24,8:30 PM,,,,,,,,,,,,,
168,2024-05-25,4:00 AM,,,,,,,,,,,,,
169,2024-05-25,7:45 AM,,,,,,,,,,,,,
170,2024-05-25,10:45 AM,,,,,,,,,,,,,
171,2024-05-25,12:00 PM,,,,,,,,,,,,,
172,2024-05-25,3:00 PM,,,,,,,,,,,,,
173,2024-05-25,6:00 PM,,,,,,,,,,,,,
174,2024-05-25,8:30 PM,,,,,,,,,,,,,
175,2024-05-26,4:00 AM,,,,,,,,,,,,,
176,2024-05-26,7:45 AM,,,,,,,,,,,,,
177,2024-05-26,10:45 AM,,,,,,,,,,,,,
178,2024-05-26,12:00 PM,,,,,,,,,,,,,
179,2024-05-26,3:00 PM,,,,,,,,,,,,,
180,2024-05-26,6:00 PM,,,,,,,,,,,,,
181,2024-05-26,8:30 PM,,,,,,,,,,,,,
182,2024-05-27,4:00 AM,,,,,,,,,,,,,
183,2024-05-27,7:45 AM,,,,,,,,,,,,,
184,2024-05-27,10:45 AM,,,,,,,,,,,,,
185,2024-05-27,12:00 PM,,,,,,,,,,,,,
186,2024-05-27,3:00 PM,,,,,,,,,,,,,
187,2024-05-27,6:00 PM,,,,,,,,,,,,,
188,2024-05-27,8:30 PM,,,,,,,,,,,,,
189,2024-05-28,4:00 AM,,,,,,,,,,,,,
190,2024-05-28,7:45 AM,,,,,,,,,,,,,
191,2024-05-28,10:45 AM,,,,,,,,,,,,,
192,2024-05-28,12:00 PM,,,,,,,,,,,,,
193,2024-05-28,3:00 PM,,,,,,,,,,,,,
194,2024-05-28,6:00 PM,,,,,,,,,,,,,
195,2024-05-28,8:30 PM,,,,,,,,,,,,,
196,2024-05-29,4:00 AM,,,,,,,,,,,,,
197,2024-05-29,7:45 AM,,,,,,,,,,,,,
198,2024-05-29,10:45 AM,,,,,,,,,,,,,
199,2024-05-29,12:00 PM,,,,,,,,,,,,,
200,2024-05-29,3:00 PM,,,,,,,,,,,,,
201,2024-05-29,6:00 PM,,,,,,,,,,,,,
202,2024-05-29,8:30 PM,,,,,,,,,,,,,
203,2024-05-30,4:00 AM,,,,,,,,,,,,,
204,2024-05-30,7:45 AM,,,,,,,,,,,,,
205,2024-05-30,10:45 AM,,,,,,,,,,,,,
206,2024-05-30,12:00 PM,,,,,,,,,,,,,
207,2024-05-30,3:00 PM,,,,,,,,,,,,,
208,2024-05-30,6:00 PM,,,,,,,,,,,,,
209,2024-05-30,8:30 PM,,,,,,,,,,,,,
210,2024-05-31,4:00 AM,,,,,,,,,,,,,
211,2024-05-31,7:45 AM,,,,,,,,,,,,,
212,2024-05-31,10:45 AM,,,,,,,,,,,,,
213,2024-05-31,12:00 PM,,,,,,,,,,,,,
214,2024-05-31,3:00 PM,,,,,,,,,,,,,
215,2024-05-31,6:00 PM,,,,,,,,,,,,,
216,2024-05-31,8:30 PM,,,,,,,,,,,,,
